id,name,mass_g,fall,year,latitude,longitude
5295,Castrovillari,15000,Fell,1583,39.8,16.2
16745,Morito,10100000,Found,1600,27.05,-105.43333
12069,Jalandhar,1967,Fell,1621,31,75
23732,Stretchleigh,10400,Fell,1623,50.38333,-3.95
11855,Hatford,29000,Fell,1628,51.65,-1.51667
16692,Minamino,1040,Fell,1632,35.07833,136.93333
16805,Mount Vaisi,17000,Fell,1637,44.08333,6.86667
18033,Ortenau,4500,Fell,1671,48.5,8
23457,Schellin,7000,Fell,1715,53.35,15.05
23615,Siratik,1700,Found,1716,14,-11
23722,Steinbach,98000,Found,1724,50.5,12.5
22396,Rasgrad,24700,Fell,1740,43.5,26.53333
17994,Ogi,14360,Fell,1741,33.28333,130.2
12356,Krasnojarsk,700000,Found,1749,54.9,91.8
11916,Hraschina,49000,Fell,1751,46.1,16.33333
14757,Luponnas,14000,Fell,1753,46.21667,5
23776,Tabor,7540,Fell,1753,49.4,14.65
453,Albareto,2000,Fell,1766,44.65,11.01667
14724,Lucé,3500,Fell,1768,47.85,0.48333
15446,Mauerkirchen,19000,Fell,1768,48.18333,13.13333
23495,Sena,4000,Fell,1773,41.71667,-0.05
22642,Rodach,2900,Fell,1775,50.35,10.8
24018,Toluca,3000000,Found,1776,19.56667,-99.56667
14695,Longchang,158500,Found,1781,29.3,105.3
5015,Bendegó,5360000,Found,1784,-10.11667,-39.2
7775,Eichstädt,3000,Fell,1785,48.9,11.21667
12291,Kharkov,1500,Fell,1787,50.625,35.075
4942,Barbotan,6400,Fell,1790,43.95,-0.05
30381,Zacatecas (1792),1000000,Found,1792,22.81667,-102.56667
5261,Cape of Good Hope,136000,Found,1793,-33.5,26
23586,Siena,3700,Fell,1794,43.11667,11.6
24325,Wold Cottage,25000,Fell,1795,54.13667,-0.41333
5063,Bjelaja Zerkov,1850,Fell,1796,49.78333,30.16667
18876,Portugal,4500,Fell,1796,38.5,-8
18884,Prambanan,500000,Found,1797,-7.56667,110.83333
5011,Benares (a),3700,Fell,1798,25.36667,82.91667
23111,Salles,9000,Fell,1798,46.05,4.63333
2320,Apt,3200,Fell,1803,43.86667,5.38333
12434,L'Aigle,37000,Fell,1803,48.76667,0.63333
15443,Mässing,1600,Fell,1803,48.13333,12.61667
5326,Charcas,1400000,Found,1804,23.08333,-101.01667
7751,Durango,164000,Found,1804,1,1
11884,High Possil,4500,Fell,1804,55.9,-4.23333
16705,Misteca,10000,Found,1804,16.8,-97.1
5062,Bitburg,1500000,Found,1805,49.96667,6.53333
7718,Doroninsk,3891,Fell,1805,51.2,112.3
